AO,PDO,PNA,WP,EPNP,ENSO,AMO,TNA,TSA,NAO,EA,CAR,IOD,AAO
-1.54,0.27,0.64,-2.05,0.7,0.56,0.56,0.63,0.45,-0.61,0.96,0.41,-0.013,0.085
0.459,-0.4,0.19,1.27,-1.62,1.04,0.46,0.51,0.3,-0.16,1.48,0.42,-0.067,-1.915
-3.413,0.08,0.04,-1.07,-0.2565,0.95,0.49,0.54,0.7,-1.88,0.93,0.29,0.16,0.607
-2.587,0.83,0.96,0.47,-0.58,0.93,0.39,0.8,0.79,-1.8,0.38,0.22,0.294,-0.757
-4.266,0.82,0.48,0.23,-0.51,1.28,0.43,1.07,0.68,-2.69,1.25,0.15,0.023,-0.775
-0.432,0.44,1.68,1.83,-1.63,1.33,0.52,1.27,0.89,-1.33,1.23,0.2,0.458,0.108
-0.275,0.78,1.26,0.88,-1.21,0.49,0.7,1.4,0.68,-0.93,0.09,0.31,0.37,0.377
-0.919,0.62,-0.73,-2.5,-0.15,-0.12,0.75,1.35,0.62,-1.33,-1.39,0.39,-0.03,1.021
-0.013,-0.22,-0.1,-0.08,1.5,-1.29,0.88,1.11,0.85,-0.52,0.34,0.4,-0.14,2.071
0.435,-1.05,0.89,-2.38,-0.22,-2.43,0.83,1.01,0.6,-0.39,1.8,0.36,-0.001,2.424
-0.117,-1.27,1.07,0.41,-1.48,-2.38,0.91,0.97,0.48,-1.69,1.17,0.27,-0.062,1.51
-0.865,-1.61,1.07,0.05,-0.34,-2.26,0.67,0.75,0.23,-0.62,0.55,0.2,-0.268,0.402
-0.467,-1.06,2.15,0.67,-0.58,-2.16,0.6,0.77,0.43,-0.5,-0.78,0.1,-0.437,1.335
-0.376,-0.82,-0.81,-0.33,0.27,-2.01,0.63,0.7,0.4,-1.84,0.24,-0.01,-0.495,1.516
-2.631,-1.21,-2.08,-1.26,-0.2039,-1.86,0.43,0.96,0.41,-1.8,-0.49,-0.13,-0.212,0.205
-1.683,-0.92,1,-1.37,-0.42,-1.77,0.42,0.97,0.45,-1.53,-1.31,-0.2,0.192,0.052
1.575,-0.83,-2.41,-0.13,-0.12,-1.59,0.36,0.53,0.59,0.35,0.41,-0.13,0.242,1.074
1.424,-0.69,0.38,-0.1,-0.03,-1.75,0.3,0.41,0.72,0.24,-0.77,0.02,0.367,-0.296
2.275,-0.42,-1.78,-1.93,-0.63,-1.69,0.4,0.33,0.49,2.55,-0.59,0.12,0.154,-0.87
-0.035,-0.37,0.25,0.38,-1.18,-1.23,0.41,0.41,0.3,-0.01,-0.67,0.21,-0.089,1.266
-0.858,-0.69,0.35,0.81,-0.48,-1.02,0.5,0.59,0.2,-0.98,-0.22,0.16,0.055,-0.099
-0.472,-1.86,-0.75,-0.27,-2.23,-0.75,0.38,0.43,0.27,-1.48,0.41,0.18,0.223,-1.384
-1.063,-1.74,1.4,-0.51,-0.67,-0.81,0.44,0.49,0.2,-1.85,1.04,0.16,0.344,-1.202
0.665,-1.79,-0.39,0.51,-0.53,-1.08,0.43,0.36,0.24,0.67,1.77,0.11,0.202,-1.25
0.8,-1.34,0.86,1.06,-0.81,-1.3,0.49,0.44,0.28,0.94,-0.28,0.04,0.356,0.388
1.459,-2.33,-0.76,0.39,-1.34,-1.14,0.33,0.21,-0.05,1.3,-0.09,0.02,0.336,-0.908
2.221,-1.79,0.06,-0.39,-0.1774,-1.18,0.33,0.23,-0.48,2.25,0.11,0.05,-0.128,2.573
-0.22,-1.38,0.13,-1.58,-1.92,-1.07,0.38,0.16,-0.32,0.86,-1.76,0.12,0.046,1.583
-0.036,-0.85,0.7,1.01,-0.33,-0.68,0.34,-0.02,-0.51,0.03,-1.73,0.13,-0.078,-0.283
1.037,-1.05,-0.19,0.82,-2.59,-0.58,0.37,-0.26,-0.08,0.93,-0.64,0.13,0.026,0.275
-0.035,-0.27,-0.09,-0.29,0.31,-0.38,0.41,-0.17,-0.33,0.37,-0.28,0.15,-0.271,0.666
0.168,-1.26,-0.29,-1.66,-1.46,-0.32,0.47,0.09,-0.04,-0.79,0.52,0.2,-0.37,0.153
-0.672,-0.87,-0.42,-1.39,-0.95,-0.28,0.58,0.31,0.04,-2.25,-0.11,0.24,0.001,-0.197
0.168,-1.52,-0.57,0.58,-1.01,0.34,0.64,0.3,-0.03,-1.29,1.02,0.24,0.546,1.259
0.014,-1.93,-0.2,-0.07,0.63,-0.02,0.74,0.52,-0.08,-1.39,1.36,0.28,0.652,0.489
0.772,-2.21,-0.39,0.69,0.16,-0.29,0.81,0.72,0.02,-0.43,0.38,0.33,0.453,0.562
-1.514,-0.79,-1.13,-2.53,0.58,-0.19,0.76,0.78,0.03,-1.73,-0.32,0.34,0.11,-0.444
-0.111,-0.59,-1.06,-2.02,0.12,-0.03,0.56,0.75,0.03,-0.74,1.15,0.35,-0.1,-1.701
-1.749,-0.48,-1.31,-0.58,-0.2259,-0.03,0.55,0.55,0.18,0.07,0.68,0.31,0.268,-0.764
