X1,X2,X3,X4,X5,X6,X7,X8
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
